model,item_id,family,pair_id,arm,read,lens,layer,position,target_in_prompt,rank,distractor_rank,margin,n_target_ids
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,21,27,False,12,106,2.84375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,22,27,False,97,308,1.453125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,23,27,False,126,168,0.40625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,24,27,False,157,162,0.03125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,25,27,False,271,342,0.1640625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,26,27,False,336,994,1.0078125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,27,27,False,185,337,0.46875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,28,27,False,153,120,-0.21875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,0,27,False,30893,25177,-0.6796875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,1,27,False,31878,25356,-0.7783203125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,2,27,False,5990,6103,0.02734375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,3,27,False,19599,13297,-0.84912109375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,4,27,False,2373,8436,1.7421875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,5,27,False,21129,14412,-0.8720703125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,6,27,False,765,3871,1.78125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,7,27,False,14824,5250,-1.7412109375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,8,27,False,568,5157,2.46875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,9,27,False,15187,9126,-0.951171875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,10,27,False,465,5697,2.765625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,11,27,False,12693,5268,-1.42626953125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,12,27,False,26097,20779,-0.6455078125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,13,27,False,8615,4683,-0.888671875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,14,27,False,14,557,2.859375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,15,27,False,868,209,-1.015625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,16,27,False,86,45,-0.484375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,17,27,False,113,35,-0.71875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,18,27,False,112,77,-0.28125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,19,27,False,246,49,-1.28125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,20,27,False,330,376,0.078125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,21,27,False,7,33,1.90625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,22,27,False,46,142,1.109375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,23,27,False,68,179,1.28125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,24,27,False,100,281,1.234375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,25,27,False,133,592,1.5078125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,26,27,False,140,1932,2.7265625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,27,27,False,138,336,0.75,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,r-lens,28,27,False,153,120,-0.21875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,0,27,False,1413,10240,2.484375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,1,27,False,3877,21018,2.5625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,2,27,False,9475,17550,1.0703125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,3,27,False,15434,18082,0.2998046875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,4,27,False,24770,22008,-0.310546875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,5,27,False,9268,6565,-0.4765625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,6,27,False,15724,13320,-0.314453125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,7,27,False,7902,2815,-1.34375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,8,27,False,5324,1596,-1.3828125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,9,27,False,8682,1040,-2.4765625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,10,27,False,5946,542,-2.578125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,11,27,False,1643,649,-0.953125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,12,27,False,1876,749,-0.9375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,13,27,False,161,1135,1.8125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,14,27,False,136,2310,2.5625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,15,27,False,158,3095,2.78125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,16,27,False,185,8863,4.015625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,17,27,False,479,5754,2.53125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,18,27,False,914,3466,1.25,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,19,27,False,967,2026,0.6875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,20,27,False,4899,2264,-0.8671875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,21,27,False,63,1237,2.734375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,22,27,False,274,1299,1.4375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,23,27,False,305,634,0.640625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,24,27,False,429,474,0.09375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,25,27,False,590,384,-0.40625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,26,27,False,396,396,0.0,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,27,27,False,97,113,0.15625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,logit-lens,28,27,False,153,120,-0.21875,6
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,0,27,False,2210,2409,0.09375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,1,27,False,5950,2326,-1.03125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,2,27,False,4845,2576,-0.734375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,3,27,False,3095,1748,-0.640625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,4,27,False,5085,1942,-1.125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,5,27,False,11656,1932,-2.34375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,6,27,False,4293,4050,-0.0703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,7,27,False,613,1923,1.109375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,8,27,False,412,1935,1.4375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,9,27,False,685,1430,0.703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,10,27,False,87,2046,2.828125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,11,27,False,1380,1000,-0.28125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,12,27,False,1538,2013,0.2578125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,13,27,False,316,864,0.875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,14,27,False,821,944,0.125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,15,27,False,362,1247,1.03125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,16,27,False,1181,84,-2.0703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,17,27,False,752,42,-2.046875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,18,27,False,231,31,-1.3125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,19,27,False,230,16,-1.890625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,20,27,False,487,19,-2.71875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,21,27,False,1349,6,-6.28125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,22,27,False,738,15,-4.5703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,23,27,False,709,26,-4.296875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,24,27,False,847,43,-3.5234375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,25,27,False,479,73,-2.2109375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,26,27,False,686,150,-1.671875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,27,27,False,634,191,-1.0,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,j-lens,28,27,False,232,256,0.0625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,0,27,False,25130,30804,0.677734375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,1,27,False,25790,30963,0.606689453125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,2,27,False,2057,7826,1.8232421875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,3,27,False,18580,24296,0.705078125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,4,27,False,8474,2169,-1.859375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,5,27,False,13320,18973,0.76171875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,6,27,False,2683,744,-1.3125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,7,27,False,1324,9384,2.4306640625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,8,27,False,4864,428,-2.59375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,9,27,False,11170,16894,0.828125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,10,27,False,5429,462,-2.703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,11,27,False,5518,12926,1.399169921875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,12,27,False,16038,24516,1.0458984375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,13,27,False,4591,10500,1.25390625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,14,27,False,345,70,-1.1875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,15,27,False,248,1282,1.2890625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,16,27,False,177,5,-2.640625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,17,27,False,252,18,-1.8046875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,18,27,False,144,3,-2.28125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,19,27,False,131,7,-1.875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,20,27,False,303,12,-2.703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,21,27,False,330,2,-5.171875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,22,27,False,527,4,-4.6953125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,23,27,False,680,13,-4.8984375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,24,27,False,585,36,-3.375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,25,27,False,569,74,-2.56640625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,26,27,False,1330,70,-3.359375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,27,27,False,510,119,-1.3125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,r-lens,28,27,False,232,256,0.0625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,0,27,False,9513,882,-2.79296875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,1,27,False,22853,2501,-3.22265625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,2,27,False,13029,9153,-0.5703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,3,27,False,9662,9460,-0.03125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,4,27,False,18340,15593,-0.3359375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,5,27,False,3183,15576,2.26953125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,6,27,False,6075,17023,1.703125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,7,27,False,5745,15676,1.65625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,8,27,False,2796,14374,2.34765625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,9,27,False,4308,11269,1.359375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,10,27,False,753,4796,2.09375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,11,27,False,2670,7006,1.25,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,12,27,False,3806,7752,0.953125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,13,27,False,783,1214,0.40625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,14,27,False,484,716,0.3125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,15,27,False,575,836,0.3125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,16,27,False,8885,3047,-1.3125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,17,27,False,935,2276,0.84375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,18,27,False,343,645,0.484375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,19,27,False,182,576,0.96875,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,20,27,False,393,32,-2.0,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,21,27,False,1062,19,-3.5625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,22,27,False,347,21,-2.765625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,23,27,False,396,31,-2.578125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,24,27,False,303,68,-1.5625,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,25,27,False,395,88,-1.359375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,26,27,False,597,255,-0.828125,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,27,27,False,254,154,-0.59375,4
starcoder2-3b,scopeword-0-inner,scopeword,scopeword-0,inner,use,logit-lens,28,27,False,232,256,0.0625,4
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,0,27,True,7288,14327,1.07421875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,1,27,True,1387,3528,0.9375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,2,27,True,916,3751,1.4375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,3,27,True,269,2481,2.2734375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,4,27,True,129,1901,2.71875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,5,27,True,203,2006,2.328125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,6,27,True,242,2546,2.28125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,7,27,True,375,3536,2.140625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,8,27,True,552,3400,1.765625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,9,27,True,949,6562,2.015625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,10,27,True,797,5786,1.96875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,11,27,True,417,6343,2.5859375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,12,27,True,1908,14504,2.46875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,13,27,True,217,5066,2.890625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,14,27,True,315,3692,2.2734375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,15,27,True,382,6505,2.6015625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,16,27,True,379,5503,2.5078125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,17,27,True,163,3132,2.5234375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,18,27,True,532,7379,2.21875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,19,27,True,5567,25874,2.435546875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,20,27,True,10068,27136,1.8017578125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,21,27,True,5834,24215,2.380859375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,22,27,True,6178,17273,1.5703125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,23,27,True,7566,16952,1.265625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,24,27,True,5629,14445,1.36328125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,25,27,True,7153,9550,0.375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,26,27,True,4686,7482,0.54736328125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,27,27,True,11482,15483,0.42578125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,j-lens,28,27,True,178,929,1.375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,0,27,True,42445,36217,-1.09375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,1,27,True,42051,34935,-1.1953125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,2,27,True,526,1227,0.921875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,3,27,True,35656,23609,-1.53125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,4,27,True,1046,5352,1.984375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,5,27,True,37882,27739,-1.3515625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,6,27,True,3490,13433,2.078125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,7,27,True,24258,14824,-1.2109375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,8,27,True,2795,10777,1.9375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,9,27,True,32747,21169,-1.4375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,10,27,True,2721,10164,1.859375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,11,27,True,29506,20467,-1.11328125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,12,27,True,39904,30325,-1.34765625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,13,27,True,26327,19199,-0.859375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,14,27,True,338,4423,2.515625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,15,27,True,7992,12074,0.57421875,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,16,27,True,1184,6902,1.8359375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,17,27,True,891,4318,1.4375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,18,27,True,499,3701,1.75390625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,19,27,True,14701,24353,1.0078125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,20,27,True,19738,24241,0.4453125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,21,27,True,14487,23438,0.953125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,22,27,True,15665,15808,0.015625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,23,27,True,16103,17052,0.1015625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,24,27,True,15421,16544,0.125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,25,27,True,4286,4004,-0.0703125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,26,27,True,4609,3296,-0.37109375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,27,27,True,6861,8796,0.28125,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,r-lens,28,27,True,178,929,1.375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,logit-lens,0,27,True,104,360,0.9375,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,logit-lens,1,27,True,10003,8180,-0.2890625,1
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,logit-lens,2,27,True,9130,9577,0.0703125,1
